Major area region country or area,Country Code,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Afghanistan,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Albania,8,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,1,0,4,0
Algeria,12,0,0,0,0,0,0,0,2,3,16,17,27,35,34,31,53,32,48,39,49,40,58,17
American Samoa,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
Andorra,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Angola,24,0,0,0,0,0,0,4,8,36,86,105,214,271,290,339,361,427,465,1121,1186,453,1271,-1
Anguilla,660,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1
Antigua and Barbuda,28,-1,-1,-1,-1,-1,-1,1,1,1,0,5,3,6,14,23,16,7,13,7,2,14,-1,-1
Argentina,32,-1,-1,-1,3,4,7,28,39,93,202,298,492,739,1132,1466,2181,2184,2622,2297,1899,1401,528,-1
Armenia,51,-1,-1,-1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7,2,2,8,3,3
Aruba,533,-1,-1,-1,-1,-1,-1,0,0,2,2,2,4,1,3,1,0,22,0,0,0,-1,-1,-1
Australia,36,-1,-1,-1,-1,-1,54,128,234,387,534,614,674,804,788,844,954,805,658,371,301,181,212,27
Austria,40,-1,-1,-1,-1,7,7,17,22,82,98,135,136,170,199,204,188,214,142,130,111,89,84,70
Azerbaijan,31,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,8,19,3
Bahamas,44,-1,-1,-1,-1,-1,-1,37,51,92,93,172,169,220,264,296,317,388,375,387,323,314,-1,-1
Bahrain,48,0,0,0,0,0,0,0,0,1,0,1,2,0,6,3,5,10,9,14,11,8,8,4
Bangladesh,50,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,3,0,-1,-1,-1
Barbados,52,-1,-1,-1,-1,-1,2,9,21,24,15,40,61,80,78,88,119,95,130,113,168,133,23,-1
