cc,country,survyear,eppregion,Subnational region,survname,ISO3,Sex,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
204,Benin,,TOTAL,Atlantique,Naomi,BEN,female,,,528,,,,2042,1926,2409,2873,3217
204,Benin,,TOTAL,Atlantique,Naomi,BEN,male,,,217,,,,282,852,1013,1183,1234
204,Benin,,TOTAL,Mono,Naomi,BEN,female,,,95,,,,,1312,1503,1628,1686
204,Benin,,TOTAL,Mono,Naomi,BEN,male,,,31,,,,,593,644,710,718
204,Benin,,TOTAL,Borgou,Naomi,BEN,female,,,1618,,,,1764,2002,2327,2573,2471
204,Benin,,TOTAL,Borgou,Naomi,BEN,male,,,1032,,,,1072,773,927,1114,1090
204,Benin,,TOTAL,Couffo,Naomi,BEN,female,,,92,,,,122,1739,1929,2122,2113
204,Benin,,TOTAL,Couffo,Naomi,BEN,male,,,43,,,,96,827,959,1024,956
204,Benin,,TOTAL,Alibori,Naomi,BEN,female,,,468,,,,509,481,543,617,596
204,Benin,,TOTAL,Alibori,Naomi,BEN,male,,,184,,,,153,162,185,219,229
204,Benin,,TOTAL,Littoral,Naomi,BEN,female,,,6425,,,,2688,9981,10201,10818,10528
204,Benin,,TOTAL,Littoral,Naomi,BEN,male,,,1348,,,,1073,3931,3999,4201,4384
204,Benin,,TOTAL,Plateau,Naomi,BEN,female,,,396,,,,162,510,624,741,762
204,Benin,,TOTAL,Plateau,Naomi,BEN,male,,,139,,,,67,192,219,272,278
204,Benin,,TOTAL,Zou,Naomi,BEN,female,,,1366,,,,832,1769,1855,2048,2228
204,Benin,,TOTAL,Zou,Naomi,BEN,male,,,798,,,,410,693,736,834,918
204,Benin,,TOTAL,Atacora,Naomi,BEN,female,,,678,,,,754,1265,1554,1932,2175
204,Benin,,TOTAL,Atacora,Naomi,BEN,male,,,380,,,,472,674,890,1125,1320
204,Benin,,TOTAL,Collines,Naomi,BEN,female,,,490,,,,669,638,823,949,1044
204,Benin,,TOTAL,Collines,Naomi,BEN,male,,,209,,,,284,282,347,381,337
204,Benin,,TOTAL,Oueme,Naomi,BEN,female,,,1590,,,,768,2825,3180,3481,3512
204,Benin,,TOTAL,Oueme,Naomi,BEN,male,,,751,,,,320,1189,1415,1535,1490
204,Benin,,TOTAL,Donga,Naomi,BEN,female,,,1186,,,,1413,1477,1669,1873,1771
204,Benin,,TOTAL,Donga,Naomi,BEN,male,,,374,,,,427,484,527,592,538
231,Ethiopia,,Total,Addis Abeba,Naomi,ETH,female,,,,,,,,,57745,58819,
231,Ethiopia,,Total,Addis Abeba,Naomi,ETH,male,,,,,,,,,34367,35517,
231,Ethiopia,,TOTAL,Dire Dawa,Naomi,ETH,female,,,,,,,,,4198,4174,
231,Ethiopia,,TOTAL,Dire Dawa,Naomi,ETH,male,,,,,,,,,2236,2168,
231,Ethiopia,,TOTAL,Gambela,Naomi,ETH,female,,,,,,,,,4986,3490,
231,Ethiopia,,TOTAL,Gambela,Naomi,ETH,male,,,,,,,,,2896,2623,
231,Ethiopia,,TOTAL,Harari,Naomi,ETH,female,,,,,,,,,2778,2985,
231,Ethiopia,,TOTAL,Harari,Naomi,ETH,male,,,,,,,,,1358,1467,
332,Haiti,,Department,Sud-Est,Naomi,HTI,female,,,,,,687,792,1000,1024,1122,1168
332,Haiti,,Department,Sud-Est,Naomi,HTI,male,,,,,,455,560,639,679,750,780
332,Haiti,,Department,Artibonite,Naomi,HTI,female,,,,,,5990,7745,9282,7179,9819,10819
332,Haiti,,Department,Artibonite,Naomi,HTI,male,,,,,,3200,4268,4959,4526,6091,6388
332,Haiti,,Department,Centre,Naomi,HTI,female,,,,,,2252,2683,3147,2671,3733,3913
332,Haiti,,Department,Centre,Naomi,HTI,male,,,,,,1406,1758,1961,1696,2244,2330
332,Haiti,,Department,Grande-Anse,Naomi,HTI,female,,,,,,934,1040,1205,1246,1381,1540
332,Haiti,,Department,Grande-Anse,Naomi,HTI,male,,,,,,596,685,780,793,962,1083
332,Haiti,,Department,Nippes,Naomi,HTI,female,,,,,,1070,1268,1503,1503,1736,1885
332,Haiti,,Department,Nippes,Naomi,HTI,male,,,,,,701,777,855,889,1050,1132
332,Haiti,,Department,Nord,Naomi,HTI,female,,,,,,5366,6089,7119,6674,8320,9026
332,Haiti,,Department,Nord,Naomi,HTI,male,,,,,,2983,3440,4066,3800,4902,5367
332,Haiti,,Department,Nord-Est,Naomi,HTI,female,,,,,,1441,1872,2190,1969,2616,2913
332,Haiti,,Department,Nord-Est,Naomi,HTI,male,,,,,,673,955,1075,1044,1385,1515
332,Haiti,,Department,Nord-Ouest,Naomi,HTI,female,,,,,,1971,2442,2925,2970,3317,3481
332,Haiti,,Department,Nord-Ouest,Naomi,HTI,male,,,,,,1023,1287,1541,1580,1779,2146
332,Haiti,,Reste Ouest,Ouest,Naomi,HTI,female,,,,,,2994,4092,4844,4068,6212,7470
332,Haiti,,Reste Ouest,Ouest,Naomi,HTI,male,,,,,,1764,2136,2531,2185,3382,4121
332,Haiti,,Aire Metropolitaine,Ouest,Naomi,HTI,female,,,,,,16941,20195,21594,22894,24204,27479
332,Haiti,,Aire Metropolitaine,Ouest,Naomi,HTI,male,,,,,,9237,10934,12039,13144,14370,16243
