Country,Region,Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Mozambique,NORTH_Niassa,50817,2.037,2.142,2.065,1.947,1.831,1.782,1.73,1.666,1.594,1.56,1.533,1.483,1.463,1.441,1.405,1.393,1.389,1.385,1.399,1.419,1.443,1.465,1.484,1.485,1.487,1.489,1.49,1.479,1.445,1.417,1.415,1.41,1.384,1.343,1.317,1.307,1.294,1.294,1.294,1.294,1.294,1.294,1.294,1.294,1.294,1.294
Mozambique,NORTH_Cabo Delgado,50811,3.128,2.991,2.699,2.55,2.42,2.306,2.24,2.12,2.062,1.993,1.949,1.894,1.856,1.812,1.77,1.747,1.728,1.713,1.714,1.722,1.739,1.746,1.75,1.738,1.725,1.718,1.731,1.747,1.752,1.724,1.679,1.633,1.601,1.593,1.553,1.506,1.481,1.481,1.481,1.481,1.481,1.481,1.481,1.481,1.481,1.481
Mozambique,NORTH_Nampula,50816,2.135,2.092,1.978,1.825,1.664,1.595,1.519,1.464,1.405,1.371,1.337,1.303,1.273,1.252,1.235,1.221,1.211,1.21,1.221,1.23,1.245,1.25,1.252,1.256,1.259,1.256,1.257,1.255,1.246,1.213,1.171,1.128,1.089,1.062,1.063,1.086,1.111,1.111,1.111,1.111,1.111,1.111,1.111,1.111,1.111,1.111
Mozambique,CENTER_Zambezi,50815,2.316,2.122,1.922,1.772,1.655,1.563,1.516,1.482,1.44,1.446,1.424,1.408,1.393,1.362,1.356,1.355,1.346,1.344,1.337,1.345,1.353,1.36,1.367,1.368,1.37,1.374,1.378,1.383,1.381,1.363,1.339,1.322,1.304,1.289,1.293,1.301,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303
Mozambique,CENTER_Tete,50814,1.659,1.497,1.365,1.258,1.171,1.107,1.061,1.023,0.991,0.968,0.951,0.931,0.918,0.903,0.898,0.894,0.901,0.905,0.914,0.923,0.932,0.939,0.942,0.933,0.926,0.928,0.926,0.92,0.921,0.9,0.852,0.806,0.771,0.748,0.747,0.76,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774,0.774
Mozambique,CENTER_Manica,50810,2.686,2.558,2.414,2.242,2.065,1.989,1.925,1.844,1.769,1.703,1.681,1.619,1.57,1.528,1.501,1.485,1.479,1.472,1.474,1.484,1.493,1.499,1.513,1.513,1.513,1.524,1.538,1.545,1.545,1.527,1.458,1.401,1.376,1.336,1.318,1.325,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
Mozambique,CENTER_Sofala,50813,2.688,2.483,2.23,2.105,1.945,1.837,1.761,1.685,1.602,1.569,1.513,1.473,1.443,1.414,1.391,1.371,1.36,1.357,1.357,1.361,1.365,1.374,1.382,1.376,1.372,1.376,1.382,1.381,1.368,1.34,1.303,1.256,1.224,1.209,1.194,1.186,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187
Mozambique,SOUTH_Inhambane,508,2.291,2.098,1.861,1.679,1.592,1.565,1.505,1.512,1.526,1.51,1.485,1.478,1.48,1.473,1.469,1.483,1.449,1.435,1.434,1.43,1.429,1.421,1.405,1.388,1.366,1.367,1.355,1.347,1.346,1.316,1.285,1.265,1.244,1.247,1.255,1.252,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248,1.248
Mozambique,SOUTH_Gaza,508,0.395,0.699,0.914,1.038,1.15,1.21,1.23,1.232,1.225,1.215,1.204,1.191,1.166,1.143,1.123,1.114,1.107,1.102,1.097,1.098,1.101,1.105,1.108,1.103,1.099,1.106,1.112,1.117,1.118,1.126,1.122,1.108,1.103,1.106,1.121,1.138,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15,1.15
Mozambique,SOUTH_Maputo Provincia,508,1.607,1.544,1.392,1.293,1.231,1.167,1.108,1.081,1.067,1.056,1.052,1.032,1.026,1.007,1,0.992,0.99,0.984,0.989,0.989,0.988,0.99,0.991,0.992,0.995,1.001,1.007,1.016,1.03,1.035,1.03,1.034,1.038,1.037,1.045,1.061,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075
Mozambique,SOUTH_Maputo Cidade,508,1.133,1.096,1.081,1.022,0.944,0.91,0.89,0.878,0.864,0.858,0.855,0.851,0.849,0.846,0.84,0.837,0.837,0.838,0.84,0.84,0.839,0.84,0.838,0.842,0.846,0.851,0.846,0.839,0.844,0.846,0.853,0.855,0.86,0.875,0.892,0.911,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926,0.926
Angola,,24,1.406,1.43,1.511,1.362,1.383,1.339,1.32,1.315,1.315,1.284,1.27,1.243,1.228,1.225,1.204,1.199,1.184,1.173,1.167,1.163,1.157,1.149,1.141,1.135,1.13,1.13,1.13,1.133,1.132,1.111,1.091,1.084,1.098,1.122,1.146,1.154,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158,1.158
Benin,Alibori,204,1.054,1.054,1.092,0.816,0.877,0.782,0.794,0.8,0.772,0.771,0.753,0.744,0.74,0.741,0.733,0.722,0.713,0.704,0.701,0.708,0.702,0.704,0.646,0.577,0.521,0.495,0.497,0.499,0.52,0.543,0.543,0.557,0.567,0.602,0.604,0.628,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
