X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
"<ChAged15ByCD4Cat MV>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,0,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
",Males CD4: >500+: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00009,0.00064,0.00692,0.0148,0.02335,0.04035,0.05509,0.07239,0.09199,0.11356,0.13923,0.17017,0.20204,0.22262,0.26185,0.30058,0.33982,0.37324,0.42704,0.47065,0.52364,0.58089,0.64716,0.69913,0.74064,0.78657,0.83357,0.73889,0.70196,0.75388,0.72125,0.66969,0.58402,0.53541,0.53541,0.53541,0.53541,0.53541,0.53541
",Males CD4: 350-500: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012,0.00082,0.00915,0.01959,0.03087,0.05338,0.07287,0.09573,0.12163,0.15008,0.18399,0.22491,0.26701,0.29402,0.34586,0.39703,0.44881,0.49276,0.56393,0.62145,0.69146,0.76711,0.85481,0.92356,0.97839,1.03934,1.10184,0.97619,0.92767,0.99587,0.95279,0.88758,0.77599,0.71284,0.71284,0.71284,0.71284,0.71284,0.71284
",Males CD4: 250-349: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67E-05,0.0006,0.006926667,0.014846667,0.023366667,0.040453333,0.055193333,0.072486667,0.092066667,0.113573333,0.1392,0.170173333,0.202033333,0.222293333,0.26154,0.300226667,0.33934,0.372413333,0.424373333,0.464613333,0.508946667,0.560153333,0.613273333,0.667646667,0.716826667,0.764186667,0.814306667,0.72478,0.69202,0.745886667,0.71558,0.670093333,0.58974,0.543326667,0.543326667,0.543326667,0.543326667,0.543326667,0.543326667
",Males CD4: 200-249: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33E-05,0.0003,0.003463333,0.007423333,0.011683333,0.020226667,0.027596667,0.036243333,0.046033333,0.056786667,0.0696,0.085086667,0.101016667,0.111146667,0.13077,0.150113333,0.16967,0.186206667,0.212186667,0.232306667,0.254473333,0.280076667,0.306636667,0.333823333,0.358413333,0.382093333,0.407153333,0.36239,0.34601,0.372943333,0.35779,0.335046667,0.29487,0.271663333,0.271663333,0.271663333,0.271663333,0.271663333,0.271663333
",Males CD4: 100-199: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003892,0.0086205,0.013286,0.023814,0.0324345,0.042616,0.054166,0.066682,0.081655,0.1002365,0.119693,0.130088,0.1535625,0.176379,0.199416,0.2170525,0.2492595,0.2724785,0.2985885,0.327537,0.3564715,0.3836945,0.408233,0.4321205,0.460229,0.411306,0.3956715,0.431599,0.4177495,0.396298,0.358442,0.331464,0.331464,0.331464,0.331464,0.331464,0.331464
",Males CD4: 50-99: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023352,0.0051723,0.0079716,0.0142884,0.0194607,0.0255696,0.0324996,0.0400092,0.048993,0.0601419,0.0718158,0.0780528,0.0921375,0.1058274,0.1196496,0.1302315,0.1495557,0.1634871,0.1791531,0.1965222,0.2138829,0.2302167,0.2449398,0.2592723,0.2761374,0.2467836,0.2374029,0.2589594,0.2506497,0.2377788,0.2150652,0.1988784,0.1988784,0.1988784,0.1988784,0.1988784,0.1988784
",Males CD4: <50: No ART,,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048928,0.0108372,0.0167024,0.0299376,0.0407748,0.0535744,0.0680944,0.0838288,0.102652,0.1260116,0.1504712,0.1635392,0.19305,0.2217336,0.2506944,0.272866,0.3133548,0.3425444,0.3753684,0.4117608,0.4481356,0.4823588,0.5132072,0.5432372,0.5785736,0.5170704,0.4974156,0.5425816,0.5251708,0.4982032,0.4506128,0.4166976,0.4166976,0.4166976,0.4166976,0.4166976,0.4166976
