Major area  region  country or area,Country Code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,EpiStartYr,calUrbMean,calUrbSD,calRurMean,calRurSD
Afghanistan,4,6.10,6.32,6.53,6.76,6.99,7.23,7.48,7.73,7.99,8.26,8.54,8.83,9.13,9.43,9.75,10.07,10.40,10.74,11.10,11.46,11.83,12.22,12.61,13.01,13.43,13.86,14.30,14.75,15.21,15.72,16.28,16.85,17.45,18.06,18.68,19.32,19.98,20.66,21.04,21.13,21.22,21.31,21.40,21.49,21.58,21.67,21.76,21.85,21.94,22.03,22.12,22.22,22.31,22.43,22.60,22.81,23.01,23.22,23.42,23.63,23.84,24.05,24.27,24.48,24.70,24.91,25.14,25.37,25.62,25.89,26.17,26.47,26.77,27.10,27.44,27.79,28.17,28.55,28.96,29.38,29.81,30.26,30.73,31.22,31.72,32.24,32.78,33.33,33.90,34.49,35.09,35.71,36.34,36.97,37.60,38.24,38.89,39.54,40.19,40.85,41.50,1985,0,0,0,0
Albania,8,21.02,22.14,23.43,24.77,26.16,27.37,28.23,28.92,29.63,30.34,30.82,30.98,31.05,31.12,31.19,31.27,31.34,31.41,31.50,31.64,31.84,32.03,32.22,32.42,32.61,32.81,33.01,33.20,33.40,33.63,33.89,34.16,34.42,34.68,34.95,35.22,35.48,35.75,36.02,36.29,36.56,36.97,37.52,38.08,38.63,39.19,39.75,40.32,40.89,41.46,42.09,42.97,44.04,45.11,46.19,47.27,48.36,49.45,50.53,51.62,52.71,53.79,54.86,55.91,56.93,57.93,58.90,59.85,60.77,61.67,62.54,63.38,64.20,64.99,65.76,66.49,67.20,67.89,68.54,69.17,69.78,70.36,70.92,71.45,71.95,72.43,72.89,73.32,73.73,74.14,74.55,74.96,75.36,75.75,76.14,76.53,76.91,77.29,77.66,78.03,78.40,1978,0,0,0,0
Algeria,12,22.59,23.35,24.13,24.92,25.74,26.57,27.42,28.28,29.16,30.06,31.15,32.51,33.94,35.40,36.89,38.24,38.92,39.09,39.25,39.42,39.58,39.75,39.91,40.08,40.25,40.41,40.71,41.36,42.23,43.10,43.98,44.86,45.75,46.63,47.52,48.41,49.29,50.12,50.90,51.69,52.48,53.26,54.05,54.83,55.61,56.39,57.16,57.93,58.72,59.52,60.32,61.11,61.89,62.67,63.45,64.21,64.97,65.72,66.46,67.18,67.89,68.58,69.25,69.90,70.53,71.15,71.76,72.34,72.91,73.46,74.00,74.52,75.02,75.51,75.98,76.44,76.88,77.30,77.72,78.11,78.50,78.86,79.22,79.56,79.89,80.21,80.53,80.85,81.17,81.48,81.78,82.08,82.38,82.68,82.97,83.25,83.54,83.81,84.09,84.36,84.63,1985,0,0,0,0
American Samoa,16,62.00,62.45,62.90,63.35,63.80,64.24,64.68,65.12,65.56,65.99,66.43,66.85,67.28,67.70,68.13,68.54,68.96,69.37,69.78,70.18,70.58,70.98,71.38,71.77,72.16,72.55,72.93,73.31,73.68,74.10,74.69,75.39,76.09,76.77,77.43,78.09,78.72,79.35,79.96,80.61,81.42,82.34,83.22,84.07,84.88,85.66,86.41,87.12,87.80,88.36,88.54,88.44,88.35,88.25,88.15,88.05,87.95,87.85,87.75,87.65,87.55,87.46,87.38,87.32,87.26,87.22,87.18,87.16,87.15,87.15,87.16,87.18,87.22,87.26,87.31,87.38,87.46,87.54,87.64,87.75,87.86,87.99,88.12,88.27,88.42,88.58,88.75,88.91,89.07,89.23,89.38,89.54,89.69,89.84,89.99,90.13,90.28,90.42,90.56,90.70,90.84,1985,0,0,0,0
Andorra,20,39.75,41.68,43.63,45.59,47.57,49.57,51.56,53.54,55.52,57.48,59.72,62.22,64.67,67.04,69.33,71.52,73.62,75.61,77.51,79.29,80.97,82.54,84.01,85.37,86.64,87.82,88.90,89.90,90.82,91.66,92.43,93.14,93.78,94.37,94.90,95.24,95.25,95.10,94.95,94.79,94.62,94.43,94.22,94.00,93.78,93.54,93.30,93.05,92.80,92.53,92.23,91.85,91.42,90.98,90.52,90.05,89.56,89.16,88.96,88.87,88.77,88.68,88.58,88.49,88.39,88.30,88.20,88.11,88.02,87.95,87.89,87.83,87.79,87.76,87.74,87.73,87.73,87.74,87.76,87.79,87.84,87.89,87.95,88.03,88.11,88.20,88.30,88.42,88.54,88.67,88.81,88.95,89.11,89.26,89.42,89.57,89.72,89.87,90.02,90.17,90.31,1978,0,0,0,0
Angola,24,7.70,7.95,8.22,8.48,8.76,9.05,9.34,9.64,9.95,10.27,10.62,11.00,11.41,11.84,12.28,12.73,13.20,13.69,14.18,14.70,15.29,16.04,16.88,17.76,18.67,19.61,20.59,21.61,22.66,23.75,24.87,26.02,27.22,28.44,29.70,30.99,32.31,33.66,35.04,36.44,37.86,39.31,40.78,42.26,43.58,44.76,45.94,47.12,48.30,49.49,50.68,51.87,53.05,54.24,55.41,56.38,57.14,57.90,58.66,59.41,60.16,60.90,61.64,62.37,63.09,63.80,64.49,65.18,65.85,66.50,67.14,67.77,68.38,68.98,69.57,70.14,70.70,71.24,71.78,72.29,72.79,73.28,73.76,74.22,74.67,75.10,75.52,75.93,76.33,76.70,77.07,77.44,77.80,78.16,78.52,78.87,79.21,79.55,79.89,80.22,80.55,1975,-0.14180685,0.1,-0.038115,0.07
Antigua and Barbuda,28,30.53,31.48,32.43,33.41,34.39,35.39,36.41,37.43,38.47,39.32,39.35,38.73,38.12,37.51,36.91,36.31,35.72,35.12,34.54,34.03,33.86,33.94,34.02,34.10,34.18,34.26,34.34,34.42,34.50,34.58,34.66,34.74,34.82,34.90,34.98,35.06,35.14,35.22,35.30,35.39,35.45,35.28,34.90,34.52,34.15,33.78,33.41,33.04,32.67,32.31,31.93,31.42,30.78,30.15,29.53,28.91,28.30,27.70,27.11,26.53,25.97,25.61,25.44,25.26,25.09,24.92,24.78,24.66,24.55,24.47,24.41,24.36,24.34,24.34,24.35,24.39,24.44,24.52,24.61,24.73,24.86,25.02,25.19,25.39,25.61,25.85,26.11,26.39,26.70,27.03,27.38,27.75,28.12,28.49,28.87,29.25,29.63,30.01,30.40,30.79,31.18,1975,0,0,0,0
Azerbaijan,31,46.12,46.99,47.86,48.72,49.59,50.46,51.33,52.20,52.80,52.81,52.51,52.21,51.91,51.61,51.31,51.01,50.71,50.41,50.11,49.99,50.24,50.69,51.14,51.53,51.80,52.00,52.20,52.39,52.57,52.72,52.84,52.96,53.08,53.22,53.40,53.60,53.80,53.99,54.08,53.90,53.60,53.29,52.98,52.67,52.36,52.05,51.74,51.43,51.23,51.29,51.49,51.69,51.89,52.09,52.29,52.49,52.69,52.89,53.09,53.30,53.52,53.76,54.01,54.28,54.57,54.87,55.18,55.51,55.86,56.21,56.59,56.97,57.37,57.79,58.21,58.65,59.11,59.57,60.05,60.53,61.03,61.54,62.05,62.58,63.11,63.64,64.17,64.70,65.22,65.74,66.26,66.77,67.28,67.78,68.28,68.78,69.27,69.75,70.24,70.72,71.19,1987,0,0,0,0
Argentina,32,65.78,66.66,67.52,68.37,69.22,70.04,70.86,71.66,72.45,73.23,73.91,74.49,75.04,75.58,76.11,76.63,77.14,77.65,78.15,78.64,79.10,79.53,79.95,80.36,80.77,81.17,81.56,81.95,82.33,82.70,83.10,83.54,83.98,84.41,84.83,85.24,85.64,86.04,86.42,86.80,87.16,87.44,87.65,87.86,88.06,88.27,88.47,88.66,88.86,89.05,89.24,89.42,89.60,89.77,89.95,90.12,90.28,90.45,90.61,90.77,90.92,91.06,91.19,91.31,91.44,91.57,91.69,91.81,91.93,92.05,92.17,92.29,92.41,92.52,92.64,92.75,92.86,92.97,93.09,93.19,93.30,93.41,93.52,93.62,93.73,93.83,93.93,94.03,94.13,94.23,94.32,94.42,94.51,94.61,94.70,94.79,94.88,94.96,95.05,95.13,95.22,1982,0,0,0,0
Australia,36,77.25,77.73,78.20,78.67,79.13,79.58,80.03,80.47,80.90,81.32,81.74,82.08,82.37,82.65,82.93,83.20,83.42,83.59,83.75,83.92,84.08,84.24,84.40,84.56,84.71,84.87,85.02,85.18,85.33,85.48,85.63,85.69,85.66,85.63,85.60,85.57,85.54,85.51,85.48,85.45,85.42,85.34,85.22,85.09,84.96,84.83,84.70,84.57,84.44,84.30,84.17,84.16,84.28,84.40,84.52,84.64,84.76,84.88,85.00,85.12,85.24,85.35,85.45,85.55,85.65,85.75,85.85,85.96,86.07,86.18,86.30,86.43,86.55,86.68,86.82,86.96,87.10,87.25,87.39,87.55,87.70,87.86,88.02,88.18,88.35,88.51,88.68,88.85,89.03,89.20,89.38,89.55,89.73,89.90,90.07,90.24,90.40,90.56,90.72,90.88,91.04,1979,0,0,0,0
