file,cc,country,eppregion,survyear,survtype,gfr
108_Burundi,108,Burundi,N,2012,MIS,0.201
108_Burundi,108,Burundi,R,2012,MIS,0.207
108_Burundi,108,Burundi,U,2012,MIS,0.15
120_Cameroon,120,Cameroon,N,2011,DHS,0.18
120_Cameroon,120,Cameroon,R,2011,DHS,0.225
120_Cameroon,120,Cameroon,U,2011,DHS,0.142
132_Cabo Verde,132,Cabo Verde,N,2005,DHS,0.098
132_Cabo Verde,132,Cabo Verde,R,2005,DHS,0.106
132_Cabo Verde,132,Cabo Verde,U,2005,DHS,0.093
140_Central African Republic,140,Central African Republic,N,1994,DHS,0.183
140_Central African Republic,140,Central African Republic,R,1994,DHS,0.188
140_Central African Republic,140,Central African Republic,U,1994,DHS,0.176
148_Chad,148,Chad,N,2014,DHS,0.23
148_Chad,148,Chad,R,2014,DHS,0.242
148_Chad,148,Chad,U,2014,DHS,0.191
178_Congo,178,Congo,N,2011,DHS,0.182
178_Congo,178,Congo,R,2011,DHS,0.225
178_Congo,178,Congo,U,2011,DHS,0.164
180_Democratic Republic of the Congo,180,Democratic Republic of the Congo,N,2013,DHS,0.225
180_Democratic Republic of the Congo,180,Democratic Republic of the Congo,R,2013,DHS,0.251
180_Democratic Republic of the Congo,180,Democratic Republic of the Congo,U,2013,DHS,0.183
204_Benin,204,Benin,N,2012,DHS,0.175
204_Benin,204,Benin,R,2012,DHS,0.193
204_Benin,204,Benin,U,2012,DHS,0.154
226_Equatorial Guinea,226,Equatorial Guinea,N,2011,DHS,0.181
226_Equatorial Guinea,226,Equatorial Guinea,R,2011,DHS,0.201
226_Equatorial Guinea,226,Equatorial Guinea,U,2011,DHS,0.161
231_Ethiopia,231,Ethiopia,N,2016,DHS,0.156
231_Ethiopia,231,Ethiopia,R,2016,DHS,0.177
231_Ethiopia,231,Ethiopia,U,2016,DHS,0.081
232_Eritrea,232,Eritrea,N,2002,DHS,0.153
232_Eritrea,232,Eritrea,R,2002,DHS,0.182
232_Eritrea,232,Eritrea,U,2002,DHS,0.116
24_Angola,24,Angola,N,2015,DHS,0.216
24_Angola,24,Angola,R,2015,DHS,0.286
24_Angola,24,Angola,U,2015,DHS,0.186
266_Gabon,266,Gabon,N,2012,DHS,0.144
266_Gabon,266,Gabon,R,2012,DHS,0.211
266_Gabon,266,Gabon,U,2012,DHS,0.136
270_Gambia,270,Gambia,N,2013,DHS,0.185
270_Gambia,270,Gambia,R,2013,DHS,0.223
270_Gambia,270,Gambia,U,2013,DHS,0.155
288_Ghana,288,Ghana,N,2016,MIS,0.145
288_Ghana,288,Ghana,R,2016,MIS,0.174
288_Ghana,288,Ghana,U,2016,MIS,0.121
324_Guinea,324,Guinea,N,2012,DHS,0.176
324_Guinea,324,Guinea,R,2012,DHS,0.202
324_Guinea,324,Guinea,U,2012,DHS,0.131
384_Cote d'Ivoire,384,Cote d'Ivoire,N,2012,DHS,0.174
384_Cote d'Ivoire,384,Cote d'Ivoire,R,2012,DHS,0.221
384_Cote d'Ivoire,384,Cote d'Ivoire,U,2012,DHS,0.129
404_Kenya,404,Kenya,N,2015,MIS,0.137
404_Kenya,404,Kenya,R,2015,MIS,0.16
404_Kenya,404,Kenya,U,2015,MIS,0.105
426_Lesotho,426,Lesotho,N,2014,DHS,0.118
426_Lesotho,426,Lesotho,R,2014,DHS,0.137
426_Lesotho,426,Lesotho,U,2014,DHS,0.085
430_Liberia,430,Liberia,N,2013,DHS,0.168
430_Liberia,430,Liberia,R,2013,DHS,0.214
430_Liberia,430,Liberia,U,2013,DHS,0.139
450_Madagascar,450,Madagascar,N,2016,MIS,0.149
450_Madagascar,450,Madagascar,R,2016,MIS,0.156
450_Madagascar,450,Madagascar,U,2016,MIS,0.096
454_Malawi,454,Malawi,N,2015,DHS,0.158
454_Malawi,454,Malawi,R,2015,DHS,0.168
454_Malawi,454,Malawi,U,2015,DHS,0.116
454_Malawi,454,Malawi,Central Region,2015,DHS,0.156
454_Malawi,454,Malawi,Northern Region,2015,DHS,0.155
454_Malawi,454,Malawi,Southern Region,2015,DHS,0.162
466_Mali,466,Mali,N,2015,MIS,0.222
466_Mali,466,Mali,R,2015,MIS,0.24
466_Mali,466,Mali,U,2015,MIS,0.166
478_Mauritania,478,Mauritania,N,2011,MICS,0.159
478_Mauritania,478,Mauritania,R,2011,MICS,0.177
478_Mauritania,478,Mauritania,U,2011,MICS,0.139
480_Mauritius,480,Mauritius,N,2015,WPP,0.051
480_Mauritius,480,Mauritius,R,2015,WPP,0.051
480_Mauritius,480,Mauritius,U,2015,WPP,0.051
508_Mozambique,508,Mozambique,N,2011,DHS,0.206
508_Mozambique,508,Mozambique,R,2011,DHS,0.228
508_Mozambique,508,Mozambique,U,2011,DHS,0.165
516_Namibia,516,Namibia,N,2013,DHS,0.125
516_Namibia,516,Namibia,R,2013,DHS,0.156
516_Namibia,516,Namibia,U,2013,DHS,0.103
516_Namibia,516,Namibia,Erongo,2013,DHS,0.102
516_Namibia,516,Namibia,Hardap,2013,DHS,0.13
516_Namibia,516,Namibia,Karas,2013,DHS,0.117
516_Namibia,516,Namibia,Kavango,2013,DHS,0.164
